'id','ico','tx_type','wallet_from','wallet_to','unknown_address_from','block_num','tx_index_in_block','currency','txid','value','price_feed','tokens_to_receive','reject_cases','confirmed_date'
'107','SYNCO-2nd Pre-sale','Deposit','0x67801D1488d4465420893BC0fF10FfF678Af4A98','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5878562','16','ETH','0x6f452c986821c8d5a706b8af46a1ed6c1edefe734186af60f7908eb0d6739c6a','1.300000000000000000','41900/2018-06-30 00:00:00','54470.000000000000000000','[]','June 30, 2018, 3:48 a.m.'
'106','SYNCO-1st Pre-sale','Deposit','0x67801D1488d4465420893BC0fF10FfF678Af4A98','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5815780','11','ETH','0x93bffa1bcf1457d4dde2e8bc818eaf000806fdbc2675b5b5eedda23c9201d6b1','1.250000000000000000','74329/2018-06-19 00:00:00','92911.250000000000000000','[''OUT_OF_PERIOD'']','June 19, 2018, 8:35 a.m.'
'105','SYNCO-1st Pre-sale','Deposit','0x88d8C46cb7dd74F2095Bcd99A5E1ef78AD5d50aa','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5814447','12','ETH','0xd34f3486cf869dfa09fe6a60177afcaaed7236a027672c966a15b675b04d8322','4.500000000000000000','74329/2018-06-19 00:00:00','334480.500000000000000000','[]','June 19, 2018, 3:03 a.m.'
'104','SYNCO-1st Pre-sale','Deposit','0xE4564957c8025F6c5d29475DE1bBEE1CC5C9f2A8','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5814409','6','ETH','0xe759f58ac06b315940c49a5f06878fe7edeee02b4b5dc48b5e05baf5541d8dde','10.000000000000000000','74329/2018-06-19 00:00:00','743290.000000000000000000','[]','June 19, 2018, 2:54 a.m.'
'103','SYNCO-1st Pre-sale','Deposit','0x5fC7c2B774E088fAD90dECFd1496500D8032312f','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5814393','39','ETH','0x5a7e308a0c7ff0ecc8a88ec7fd988b1ccc90f3efd9495724de450c6c0b8fd1b9','3.000000000000000000','74329/2018-06-19 00:00:00','222987.000000000000000000','[]','June 19, 2018, 2:50 a.m.'
'102','SYNCO-1st Pre-sale','Deposit','None','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','390dE26d772D2e2005C6d1d24afC902bae37a4bB','5814327','109','ETH','0x581997a27a029ce6b6615653f97c959704949ae063954b0b75a803d5f22ff7c2','1.000000000000000000','74329/2018-06-19 00:00:00','74329.000000000000000000','[]','June 19, 2018, 2:35 a.m.'
'101','SYNCO-1st Pre-sale','Deposit','0x259fEf25Ca097e0310658804B542fc7d61c9204b','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5814253','104','ETH','0x46e8f2e938d235c909dc1ab6cba22fded46d514fd26aaed68b448ce12c0e8623','1.000000000000000000','74329/2018-06-19 00:00:00','74329.000000000000000000','[]','June 19, 2018, 2:15 a.m.'
'100','SYNCO-1st Pre-sale','Deposit','0x9c9eB1056AD7624c16e169173ADaF8EB3C6b8058','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5814151','140','ETH','0x34d3ca91e9ade71578c94b7ebad9fd8b37ff89f267aaf2c06fc6e8e8f3ca8310','1.000000000000000000','74329/2018-06-19 00:00:00','74329.000000000000000000','[]','June 19, 2018, 1:50 a.m.'
'99','SYNCO-1st Pre-sale','Deposit','0x8492013386C69EdE9bFBe80be90CEEaAa416Aa0A','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5812403','0','ETH','0xddf2cf509d5e039125d0ee8e79d928106a018e38b5ba586adefccf7e0749c0f8','4.080000000000000000','75374/2018-06-18 00:00:00','307525.920000000000000000','[]','June 18, 2018, 6:50 p.m.'
'98','SYNCO-1st Pre-sale','Deposit','0x20D090B61d86B2abA66acB5287aD8fad362a2165','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5810302','52','ETH','0xce38afb29f348e71c4b800b9bb850c01e97e0b9beb996844f6f66fbb8dadd67f','4.999139000000000000','75374/2018-06-18 00:00:00','376805.102986000000000000','[]','June 18, 2018, 10:18 a.m.'
'97','SYNCO-1st Pre-sale','Deposit','0x3e44F6bddF38f5cF70f34D568396eaf13B6a8C70','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5810048','115','ETH','0xfffbb7c59ff4ec1445ecd6aac894dc2d7d953fc9c0e6967f2bb02319ebe4a4a5','10.000000000000000000','75374/2018-06-18 00:00:00','753740.000000000000000000','[]','June 18, 2018, 9:16 a.m.'
'96','SYNCO-1st Pre-sale','Deposit','0xAd0195269373a56bf4e0131Fa58A5Bb2086BFC22','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5810001','121','ETH','0xa9c91c95e7357532fb2e2709f18a8925dcbd440402cdefd72a252baff25433bb','3.000000000000000000','75374/2018-06-18 00:00:00','226122.000000000000000000','[]','June 18, 2018, 9:03 a.m.'
'95','SYNCO-1st Pre-sale','Deposit','0x54ebFDaD8C945E64C3FEb11cBdDeD255A587FAC4','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5809899','8','ETH','0x5c08bfc59c50b5b6a6677201c46fd2756730b658f57772f2c8c91a4d5863fe26','10.000000000000000000','75374/2018-06-18 00:00:00','753740.000000000000000000','[]','June 18, 2018, 8:34 a.m.'
'94','SYNCO-1st Pre-sale','Deposit','0x8F4A4753463a0d504660d9A7D669D35BEc83b897','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5809518','7','ETH','0x9acc26ee4f00bfa15bf6c18267fa369e7748ea2197333e2372d9c182a2d5ae81','2.000000000000000000','75374/2018-06-18 00:00:00','150748.000000000000000000','[]','June 18, 2018, 6:59 a.m.'
'93','SYNCO-1st Pre-sale','Deposit','0xc604F963358845bccd6471A1D38008288A5F1215','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5809154','12','ETH','0x3832cefbe0bd245c76ce2c59549816f34dae2133c62249ba3e2e9b560a69883d','10.000000000000000000','75374/2018-06-18 00:00:00','753740.000000000000000000','[]','June 18, 2018, 5:26 a.m.'
'92','SYNCO-1st Pre-sale','Deposit','0xAd0195269373a56bf4e0131Fa58A5Bb2086BFC22','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5808515','20','ETH','0xbf20487cc7fb54595e7cc635f6857874f2639cc0eb730874964f97c2bbed64f7','2.000000000000000000','75374/2018-06-18 00:00:00','150748.000000000000000000','[]','June 18, 2018, 2:51 a.m.'
'91','SYNCO-1st Pre-sale','Deposit','0x8201A94F8e485a2B8FF18B565175fB638f277C4a','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5808056','8','ETH','0x98681f890eb832c4016dc39c577213c9c48b767a5a13afb30e1bfe9e9c58f137','10.000000000000000000','75374/2018-06-18 00:00:00','753740.000000000000000000','[]','June 18, 2018, 1:07 a.m.'
'90','SYNCO-1st Pre-sale','Deposit','0x5fC7c2B774E088fAD90dECFd1496500D8032312f','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5805368','97','ETH','0xa741a9e701cbf3027f124f3aec23beb963b81f096589a4649b1edbc1b2555ff9','1.000000000000000000','74777/2018-06-17 00:00:00','74777.000000000000000000','[]','June 17, 2018, 2:19 p.m.'
'89','SYNCO-1st Pre-sale','Deposit','0x812896C8184da054677272788Fbe5c95b81C6810','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5802303','103','ETH','0x3bdb569fa1081396e174e8c0229f19ddde24e8ce01203ab783d42ba66b55b0cc','5.000000000000000000','74777/2018-06-17 00:00:00','373885.000000000000000000','[]','June 17, 2018, 1:55 a.m.'
'88','SYNCO-1st Pre-sale','Deposit','0xAd0195269373a56bf4e0131Fa58A5Bb2086BFC22','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5801759','150','ETH','0xc6fb147ca83b618104188ae8b1e705ecfdb15007ee8833476718b93e4a309478','3.000000000000000000','75821/2018-06-16 00:00:00','227463.000000000000000000','[]','June 16, 2018, 11:40 p.m.'
'87','SYNCO-1st Pre-sale','Deposit','0x78f27C1Dc120767E745f76865F5C4EA385Cb830a','0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA','','5801683','30','ETH','0xa6f3e422c69644d29ba566fe4340bbb3192a92ee8166586375ffa2ead4a5e57e','2.000000000000000000','75821/2018-06-16 00:00:00','151642.000000000000000000','[]','June 16, 2018, 11:22 p.m.'
