id,ico,tx_type,address,wallet_to,block_num,tx_index_in_block,currency,txid,price_feed,amount
100,SYNCO-1st Pre-sale,Deposit,0x9c9eB1056AD7624c16e169173ADaF8EB3C6b8058,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5814151,140,ETH,0x34d3ca91e9ade71578c94b7ebad9fd8b37ff89f267aaf2c06fc6e8e8f3ca8310,74329/2018-06-19 00:00:00,74329000000000000000000
99,SYNCO-1st Pre-sale,Deposit,0x8492013386C69EdE9bFBe80be90CEEaAa416Aa0A,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5812403,0,ETH,0xddf2cf509d5e039125d0ee8e79d928106a018e38b5ba586adefccf7e0749c0f8,75374/2018-06-18 00:00:00,307525920000000000000000
98,SYNCO-1st Pre-sale,Deposit,0x20D090B61d86B2abA66acB5287aD8fad362a2165,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5810302,52,ETH,0xce38afb29f348e71c4b800b9bb850c01e97e0b9beb996844f6f66fbb8dadd67f,75374/2018-06-18 00:00:00,376805102986000000000000
97,SYNCO-1st Pre-sale,Deposit,0x3e44F6bddF38f5cF70f34D568396eaf13B6a8C70,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5810048,115,ETH,0xfffbb7c59ff4ec1445ecd6aac894dc2d7d953fc9c0e6967f2bb02319ebe4a4a5,75374/2018-06-18 00:00:00,753740000000000000000000
96,SYNCO-1st Pre-sale,Deposit,0xAd0195269373a56bf4e0131Fa58A5Bb2086BFC22,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5810001,121,ETH,0xa9c91c95e7357532fb2e2709f18a8925dcbd440402cdefd72a252baff25433bb,75374/2018-06-18 00:00:00,226122000000000000000000
95,SYNCO-1st Pre-sale,Deposit,0x54ebFDaD8C945E64C3FEb11cBdDeD255A587FAC4,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5809899,8,ETH,0x5c08bfc59c50b5b6a6677201c46fd2756730b658f57772f2c8c91a4d5863fe26,75374/2018-06-18 00:00:00,753740000000000000000000
94,SYNCO-1st Pre-sale,Deposit,0x8F4A4753463a0d504660d9A7D669D35BEc83b897,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5809518,7,ETH,0x9acc26ee4f00bfa15bf6c18267fa369e7748ea2197333e2372d9c182a2d5ae81,75374/2018-06-18 00:00:00,150748000000000000000000
93,SYNCO-1st Pre-sale,Deposit,0xc604F963358845bccd6471A1D38008288A5F1215,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5809154,12,ETH,0x3832cefbe0bd245c76ce2c59549816f34dae2133c62249ba3e2e9b560a69883d,75374/2018-06-18 00:00:00,753740000000000000000000
92,SYNCO-1st Pre-sale,Deposit,0xAd0195269373a56bf4e0131Fa58A5Bb2086BFC22,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5808515,20,ETH,0xbf20487cc7fb54595e7cc635f6857874f2639cc0eb730874964f97c2bbed64f7,75374/2018-06-18 00:00:00,150748000000000000000000
91,SYNCO-1st Pre-sale,Deposit,0x8201A94F8e485a2B8FF18B565175fB638f277C4a,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5808056,8,ETH,0x98681f890eb832c4016dc39c577213c9c48b767a5a13afb30e1bfe9e9c58f137,75374/2018-06-18 00:00:00,753740000000000000000000
90,SYNCO-1st Pre-sale,Deposit,0x5fC7c2B774E088fAD90dECFd1496500D8032312f,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5805368,97,ETH,0xa741a9e701cbf3027f124f3aec23beb963b81f096589a4649b1edbc1b2555ff9,74777/2018-06-17 00:00:00,74777000000000000000000
89,SYNCO-1st Pre-sale,Deposit,0x812896C8184da054677272788Fbe5c95b81C6810,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5802303,103,ETH,0x3bdb569fa1081396e174e8c0229f19ddde24e8ce01203ab783d42ba66b55b0cc,74777/2018-06-17 00:00:00,373885000000000000000000
88,SYNCO-1st Pre-sale,Deposit,0xAd0195269373a56bf4e0131Fa58A5Bb2086BFC22,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5801759,150,ETH,0xc6fb147ca83b618104188ae8b1e705ecfdb15007ee8833476718b93e4a309478,75821/2018-06-16 00:00:00,227463000000000000000000
87,SYNCO-1st Pre-sale,Deposit,0x78f27C1Dc120767E745f76865F5C4EA385Cb830a,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5801683,30,ETH,0xa6f3e422c69644d29ba566fe4340bbb3192a92ee8166586375ffa2ead4a5e57e,75821/2018-06-16 00:00:00,151642000000000000000000
86,SYNCO-1st Pre-sale,Deposit,0x9415671c8334E03B94b7115885233Cc7c773082a,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5795966,10,ETH,0x43e146ce363035d724455aef152ade7755c6b8764598e3c789800cea38d26261,73135/2018-06-15 00:00:00,731350000000000000000000
85,SYNCO-1st Pre-sale,Deposit,0x9c9eB1056AD7624c16e169173ADaF8EB3C6b8058,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5792259,130,ETH,0x8368f3726f3dc75cc2eafe8ee62fffc1947fbc14d986ff5ff6f9fbc092637439,73135/2018-06-15 00:00:00,73135000000000000000000
84,SYNCO-1st Pre-sale,Deposit,0x6f93CD95bBC6de62cff4826A7427Ced37bB76a41,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5790357,60,ETH,0xae168d0dc0d417fc84c21677b7a0cbc3faec8a13376b0d2cfa2d16a4da6dbd68,73135/2018-06-15 00:00:00,731350000000000000000000
83,SYNCO-1st Pre-sale,Deposit,0x6242Bba7901BFb697EDdf698ED9F1F49fDf694cB,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5786260,18,ETH,0x86eeeff87ad24581a05f7112b985c68d4c6b02bafb5f43adac9ac1f302021d9f,74180/2018-06-14 00:00:00,74180000000000000000000
82,SYNCO-1st Pre-sale,Deposit,0x5fC7c2B774E088fAD90dECFd1496500D8032312f,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5785964,4,ETH,0x652ec28ae8c33942b639e5c1a71f1354a4d69d08d2bfff84480f89b821827ab3,74180/2018-06-14 00:00:00,74180000000000000000000
81,SYNCO-1st Pre-sale,Deposit,0x3f94c4dc3Eb76B8fC5652FAF632Dd4A919dC6A47,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5777990,16,ETH,0xa1a74f5e70d158e2784fdfd87d41ab79562aa1425ceaafd0e2451b375c5ed094,79851/2018-06-12 00:00:00,221731753207740000000000
80,SYNCO-1st Pre-sale,Deposit,0x3f94c4dc3Eb76B8fC5652FAF632Dd4A919dC6A47,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5776525,57,ETH,0xbce5d90bb4fbb4916a0e239d56bb81c2d2a5108ebdb7c01e0dc82611054685d9,79851/2018-06-12 00:00:00,88008578160000000000000
79,SYNCO-1st Pre-sale,Deposit,0x69a19E8f859cB7e3f5b4703315BBD63D7b1803C6,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5773604,10,ETH,0x663f1157e650c6a18c2e9b8f2a8772584d14f331a0d82f38abb068b9b5b3d14c,79851/2018-06-12 00:00:00,79851000000000000000000
78,SYNCO-1st Pre-sale,Deposit,0xAa8c9650864E9A0c035d1a8414100E23f06A2D36,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5773051,119,ETH,0x2f3555fa0394a58244eb52da23c27185071373e68c6d01089b57b19adb510641,79851/2018-06-12 00:00:00,129358620000000000000000
77,SYNCO-1st Pre-sale,Deposit,0x37aa7E8C39acAF9003Fa33adc2E01f5268b24969,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5771094,32,ETH,0x584264c29260596cdc52744e9c51cf999bc89bf676dd34c3e98ea945dd74ef30,85971/2018-06-11 00:00:00,227148144394950000000000
76,SYNCO-1st Pre-sale,Deposit,0x69a19E8f859cB7e3f5b4703315BBD63D7b1803C6,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5769471,27,ETH,0xcf5418f2d88645d0e017a661438c54386078d8ec19dacb8694dd68db94e9dfe1,85971/2018-06-11 00:00:00,124657950000000000000000
75,SYNCO-1st Pre-sale,Deposit,0xcEd5a85B44aC9AB5945F49CC1C793a67C4C8AdD2,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5769415,226,ETH,0xddea77cf8803c6cb0c88c149b7f09f720abb48bdec9b5a73dde1671b2bb19c03,85971/2018-06-11 00:00:00,257913000000000000000000
74,SYNCO-1st Pre-sale,Deposit,0x7E3Fd775b24558CAa7FEd60aFc1C00cEdC2cb122,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5768266,68,ETH,0x5f10a9bf5bdc785e71e4d7fe18d9b86b84aa4f21fd979c265f104212cfdeddd2,85971/2018-06-11 00:00:00,515826000000000000000000
73,SYNCO-1st Pre-sale,Deposit,0x8d4821B89D4625bF6a89E6A617922A526C8058Ba,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5764161,58,ETH,0x87ab0878a6379fe1938ede6be7d63909db55a3466eea8b246fb7c991fd39ad22,90747/2018-06-10 00:00:00,91364079600000000000000
72,SYNCO-1st Pre-sale,Deposit,0x0eBe26F8e72bc461d18385d97fAF57dFeeC10e61,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5763786,22,ETH,0x59aa14f2d01651f60d0e830daff71345fc289ea79d31b2a7430fbf6dc1deb811,90747/2018-06-10 00:00:00,916466566833000000000000
71,SYNCO-1st Pre-sale,Deposit,0x00eEE0Bb6Bd0F86722AaA43E127cE59F54D295De,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5759333,11,ETH,0x1050b019f1b391cf1a4006eb82f62d689d24c77202ee5baa8f5ea505160228ba,90299/2018-06-09 00:00:00,5329835265700000000000
70,SYNCO-1st Pre-sale,Deposit,0x00eEE0Bb6Bd0F86722AaA43E127cE59F54D295De,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5759264,106,ETH,0xbfafe35d693d48e91c1ec8f56f45c687fdde98eba37dbab3a574a9bc917231ee,90299/2018-06-09 00:00:00,122806640000000000000000
69,SYNCO-1st Pre-sale,Deposit,0x76E1bADD69b79786C533C4c031C067e5A33D113e,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5759186,9,ETH,0x139aa6c28db77ee76924f56703f46da08016c1384c73edd920cb81409edc2609,90299/2018-06-09 00:00:00,180598000000000000000000
68,SYNCO-1st Pre-sale,Deposit,0xbFF73466159e5492Cb4C0b4A2214820A84417E15,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5755940,32,ETH,0x8cad77736fbac30001635a68d092bf4bf50a8ebbe74b0bec5e6ae31593425efa,91195/2018-06-08 00:00:00,182390000000000000000000
67,SYNCO-1st Pre-sale,Deposit,0x78f27C1Dc120767E745f76865F5C4EA385Cb830a,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5753704,111,ETH,0x563c49063731c01fe5b4b216d625d362ea78310676c26899464b0008915afbca,91195/2018-06-08 00:00:00,91195000000000000000000
66,SYNCO-1st Pre-sale,Deposit,0x126848CfA4439b9d87A8637cdb1C315a84881F7D,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5752791,29,ETH,0x4ab3d3938ff755b01ec4af4269fe578357eaac4c7ceb234c788c0ebbfe933aa0,91195/2018-06-08 00:00:00,911950000000000000000000
65,SYNCO-1st Pre-sale,Deposit,0x715f4325261381dEAa0D3E54f64Dfd2938160784,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5750909,15,ETH,0xa409a956b2b58560e401741a229239de16769b0d47d4aee5abb60fcac81d48e1,91195/2018-06-08 00:00:00,273585000000000000000000
64,SYNCO-1st Pre-sale,Deposit,0xEe11f25297843DcDFdE7Ef02FCf197651200e538,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5750581,27,ETH,0xefbc1f54d23c94b024dbd8170813c87aee72de5c00a040f48f797e06e82a7a0b,91195/2018-06-08 00:00:00,182390000000000000000000
63,SYNCO-1st Pre-sale,Deposit,0x37A40a3727dbE73d1917CE160031D86fd4EC7f74,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5749093,4,ETH,0x2c8dc6340865e93e50fecdb5bcbba97bc7fd5279412b7b16e4588ae2d5596722,90448/2018-06-07 00:00:00,451335520000000000000000
62,SYNCO-1st Pre-sale,Deposit,0x6680Edc4B918f3dB400cB94acF41012aE94Bf257,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5747812,12,ETH,0x7da98564f279a0443f2f543aedd772dc13a3f045e4cd39f2f9e57451abc1e4f4,90448/2018-06-07 00:00:00,361792000000000000000000
61,SYNCO-1st Pre-sale,Deposit,0xD76626347453bc277Cce23535CBD1Fb8803A1E57,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5747543,166,ETH,0xa4bd816ffd0243a66e01dd383c5cb840797d70184fd0e7557e824fa5e053c92f,90448/2018-06-07 00:00:00,904480000000000000000000
60,SYNCO-1st Pre-sale,Deposit,0x49Fb5E7ef4f72C09e8f76e6111b7DEb9a19AF5b5,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5747050,128,ETH,0x0bb359497c444f0c342d6aecef1429d05668a26903b117720f06d1dce76cf7ff,90448/2018-06-07 00:00:00,180896000000000000000000
59,SYNCO-1st Pre-sale,Deposit,0xEcBD4c7f60f9825B8948EF9137E6a2E72a74C657,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5745735,9,ETH,0x297adece7eacc98bdb148740a5c6d462a6ba7e1fe53f3494283aaccab91f42a7,90448/2018-06-07 00:00:00,90448000000000000000000
58,SYNCO-1st Pre-sale,Deposit,0x141f9AD583947fDF04BE52A63E7ef96Fe6eE579B,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5745247,81,ETH,0x3b25e99adedbe3dcac3dcab289b48b90aa2af82aea1e11fbc753693663cbfa0c,90448/2018-06-07 00:00:00,90448000000000000000000
57,SYNCO-1st Pre-sale,Deposit,0x6680Edc4B918f3dB400cB94acF41012aE94Bf257,0x038f78eaeF4EaDb2cAA777B749Cd956f8Aa5a1bA,5745211,22,ETH,0x1f50975a003433649110b851744879a7d1807c58e2ff5f47f5bd873bd25475bc,90448/2018-06-07 00:00:00,542688000000000000000000
